id_date,date_complete,jour,mois,trimestre,annee,semaine,libelle_jour,libelle_mois,est_weekend,est_ferie_maroc,periode_ramadan
20200101,2020-01-01,1,1,1,2020,1,Wednesday,January,False,True,False
20200102,2020-01-02,2,1,1,2020,1,Thursday,January,False,False,False
20200103,2020-01-03,3,1,1,2020,1,Friday,January,False,False,False
20200104,2020-01-04,4,1,1,2020,1,Saturday,January,True,False,False
20200105,2020-01-05,5,1,1,2020,1,Sunday,January,True,False,False
20200106,2020-01-06,6,1,1,2020,2,Monday,January,False,False,False
20200107,2020-01-07,7,1,1,2020,2,Tuesday,January,False,False,False
20200108,2020-01-08,8,1,1,2020,2,Wednesday,January,False,False,False
20200109,2020-01-09,9,1,1,2020,2,Thursday,January,False,False,False
20200110,2020-01-10,10,1,1,2020,2,Friday,January,False,False,False
20200111,2020-01-11,11,1,1,2020,2,Saturday,January,True,True,False
20200112,2020-01-12,12,1,1,2020,2,Sunday,January,True,False,False
20200113,2020-01-13,13,1,1,2020,3,Monday,January,False,False,False
20200114,2020-01-14,14,1,1,2020,3,Tuesday,January,False,False,False
20200115,2020-01-15,15,1,1,2020,3,Wednesday,January,False,False,False
20200116,2020-01-16,16,1,1,2020,3,Thursday,January,False,False,False
20200117,2020-01-17,17,1,1,2020,3,Friday,January,False,False,False
20200118,2020-01-18,18,1,1,2020,3,Saturday,January,True,False,False
20200119,2020-01-19,19,1,1,2020,3,Sunday,January,True,False,False
20200120,2020-01-20,20,1,1,2020,4,Monday,January,False,False,False
20200121,2020-01-21,21,1,1,2020,4,Tuesday,January,False,False,False
20200122,2020-01-22,22,1,1,2020,4,Wednesday,January,False,False,False
20200123,2020-01-23,23,1,1,2020,4,Thursday,January,False,False,False
20200124,2020-01-24,24,1,1,2020,4,Friday,January,False,False,False
20200125,2020-01-25,25,1,1,2020,4,Saturday,January,True,False,False
20200126,2020-01-26,26,1,1,2020,4,Sunday,January,True,False,False
20200127,2020-01-27,27,1,1,2020,5,Monday,January,False,False,False
20200128,2020-01-28,28,1,1,2020,5,Tuesday,January,False,False,False
20200129,2020-01-29,29,1,1,2020,5,Wednesday,January,False,False,False
20200130,2020-01-30,30,1,1,2020,5,Thursday,January,False,False,False
20200131,2020-01-31,31,1,1,2020,5,Friday,January,False,False,False
20200201,2020-02-01,1,2,1,2020,5,Saturday,February,True,False,False
20200202,2020-02-02,2,2,1,2020,5,Sunday,February,True,False,False
20200203,2020-02-03,3,2,1,2020,6,Monday,February,False,False,False
20200204,2020-02-04,4,2,1,2020,6,Tuesday,February,False,False,False
20200205,2020-02-05,5,2,1,2020,6,Wednesday,February,False,False,False
20200206,2020-02-06,6,2,1,2020,6,Thursday,February,False,False,False
20200207,2020-02-07,7,2,1,2020,6,Friday,February,False,False,False
20200208,2020-02-08,8,2,1,2020,6,Saturday,February,True,False,False
20200209,2020-02-09,9,2,1,2020,6,Sunday,February,True,False,False
20200210,2020-02-10,10,2,1,2020,7,Monday,February,False,False,False
20200211,2020-02-11,11,2,1,2020,7,Tuesday,February,False,False,False
20200212,2020-02-12,12,2,1,2020,7,Wednesday,February,False,False,False
20200213,2020-02-13,13,2,1,2020,7,Thursday,February,False,False,False
20200214,2020-02-14,14,2,1,2020,7,Friday,February,False,False,False
20200215,2020-02-15,15,2,1,2020,7,Saturday,February,True,False,False
20200216,2020-02-16,16,2,1,2020,7,Sunday,February,True,False,False
20200217,2020-02-17,17,2,1,2020,8,Monday,February,False,False,False
20200218,2020-02-18,18,2,1,2020,8,Tuesday,February,False,False,False
20200219,2020-02-19,19,2,1,2020,8,Wednesday,February,False,False,False
20200220,2020-02-20,20,2,1,2020,8,Thursday,February,False,False,False
20200221,2020-02-21,21,2,1,2020,8,Friday,February,False,False,False
20200222,2020-02-22,22,2,1,2020,8,Saturday,February,True,False,False
20200223,2020-02-23,23,2,1,2020,8,Sunday,February,True,False,False
20200224,2020-02-24,24,2,1,2020,9,Monday,February,False,False,False
20200225,2020-02-25,25,2,1,2020,9,Tuesday,February,False,False,False
20200226,2020-02-26,26,2,1,2020,9,Wednesday,February,False,False,False
20200227,2020-02-27,27,2,1,2020,9,Thursday,February,False,False,False
20200228,2020-02-28,28,2,1,2020,9,Friday,February,False,False,False
20200229,2020-02-29,29,2,1,2020,9,Saturday,February,True,False,False
20200301,2020-03-01,1,3,1,2020,9,Sunday,March,True,False,False
20200302,2020-03-02,2,3,1,2020,10,Monday,March,False,False,False
20200303,2020-03-03,3,3,1,2020,10,Tuesday,March,False,False,False
20200304,2020-03-04,4,3,1,2020,10,Wednesday,March,False,False,False
20200305,2020-03-05,5,3,1,2020,10,Thursday,March,False,False,False
20200306,2020-03-06,6,3,1,2020,10,Friday,March,False,False,False
20200307,2020-03-07,7,3,1,2020,10,Saturday,March,True,False,False
20200308,2020-03-08,8,3,1,2020,10,Sunday,March,True,False,False
20200309,2020-03-09,9,3,1,2020,11,Monday,March,False,False,False
20200310,2020-03-10,10,3,1,2020,11,Tuesday,March,False,False,False
20200311,2020-03-11,11,3,1,2020,11,Wednesday,March,False,False,False
20200312,2020-03-12,12,3,1,2020,11,Thursday,March,False,False,False
20200313,2020-03-13,13,3,1,2020,11,Friday,March,False,False,False
20200314,2020-03-14,14,3,1,2020,11,Saturday,March,True,False,False
20200315,2020-03-15,15,3,1,2020,11,Sunday,March,True,False,False
20200316,2020-03-16,16,3,1,2020,12,Monday,March,False,False,False
20200317,2020-03-17,17,3,1,2020,12,Tuesday,March,False,False,False
20200318,2020-03-18,18,3,1,2020,12,Wednesday,March,False,False,False
20200319,2020-03-19,19,3,1,2020,12,Thursday,March,False,False,False
20200320,2020-03-20,20,3,1,2020,12,Friday,March,False,False,False
20200321,2020-03-21,21,3,1,2020,12,Saturday,March,True,False,False
20200322,2020-03-22,22,3,1,2020,12,Sunday,March,True,False,False
20200323,2020-03-23,23,3,1,2020,13,Monday,March,False,False,False
20200324,2020-03-24,24,3,1,2020,13,Tuesday,March,False,False,False
20200325,2020-03-25,25,3,1,2020,13,Wednesday,March,False,False,False
20200326,2020-03-26,26,3,1,2020,13,Thursday,March,False,False,False
20200327,2020-03-27,27,3,1,2020,13,Friday,March,False,False,False
20200328,2020-03-28,28,3,1,2020,13,Saturday,March,True,False,False
20200329,2020-03-29,29,3,1,2020,13,Sunday,March,True,False,False
20200330,2020-03-30,30,3,1,2020,14,Monday,March,False,False,False
20200331,2020-03-31,31,3,1,2020,14,Tuesday,March,False,False,False
20200401,2020-04-01,1,4,2,2020,14,Wednesday,April,False,False,False
20200402,2020-04-02,2,4,2,2020,14,Thursday,April,False,False,False
20200403,2020-04-03,3,4,2,2020,14,Friday,April,False,False,False
20200404,2020-04-04,4,4,2,2020,14,Saturday,April,True,False,False
20200405,2020-04-05,5,4,2,2020,14,Sunday,April,True,False,False
20200406,2020-04-06,6,4,2,2020,15,Monday,April,False,False,False
20200407,2020-04-07,7,4,2,2020,15,Tuesday,April,False,False,False
20200408,2020-04-08,8,4,2,2020,15,Wednesday,April,False,False,False
20200409,2020-04-09,9,4,2,2020,15,Thursday,April,False,False,False
20200410,2020-04-10,10,4,2,2020,15,Friday,April,False,False,False
20200411,2020-04-11,11,4,2,2020,15,Saturday,April,True,False,False
20200412,2020-04-12,12,4,2,2020,15,Sunday,April,True,False,False
20200413,2020-04-13,13,4,2,2020,16,Monday,April,False,False,False
20200414,2020-04-14,14,4,2,2020,16,Tuesday,April,False,False,False
20200415,2020-04-15,15,4,2,2020,16,Wednesday,April,False,False,False
20200416,2020-04-16,16,4,2,2020,16,Thursday,April,False,False,False
20200417,2020-04-17,17,4,2,2020,16,Friday,April,False,False,False
20200418,2020-04-18,18,4,2,2020,16,Saturday,April,True,False,False
20200419,2020-04-19,19,4,2,2020,16,Sunday,April,True,False,False
20200420,2020-04-20,20,4,2,2020,17,Monday,April,False,False,False
20200421,2020-04-21,21,4,2,2020,17,Tuesday,April,False,False,False
20200422,2020-04-22,22,4,2,2020,17,Wednesday,April,False,False,False
20200423,2020-04-23,23,4,2,2020,17,Thursday,April,False,False,True
20200424,2020-04-24,24,4,2,2020,17,Friday,April,False,False,True
20200425,2020-04-25,25,4,2,2020,17,Saturday,April,True,False,True
20200426,2020-04-26,26,4,2,2020,17,Sunday,April,True,False,True
20200427,2020-04-27,27,4,2,2020,18,Monday,April,False,False,True
20200428,2020-04-28,28,4,2,2020,18,Tuesday,April,False,False,True
20200429,2020-04-29,29,4,2,2020,18,Wednesday,April,False,False,True
20200430,2020-04-30,30,4,2,2020,18,Thursday,April,False,False,True
20200501,2020-05-01,1,5,2,2020,18,Friday,May,False,True,True
20200502,2020-05-02,2,5,2,2020,18,Saturday,May,True,False,True
20200503,2020-05-03,3,5,2,2020,18,Sunday,May,True,False,True
20200504,2020-05-04,4,5,2,2020,19,Monday,May,False,False,True
20200505,2020-05-05,5,5,2,2020,19,Tuesday,May,False,False,True
20200506,2020-05-06,6,5,2,2020,19,Wednesday,May,False,False,True
20200507,2020-05-07,7,5,2,2020,19,Thursday,May,False,False,True
20200508,2020-05-08,8,5,2,2020,19,Friday,May,False,False,True
20200509,2020-05-09,9,5,2,2020,19,Saturday,May,True,False,True
20200510,2020-05-10,10,5,2,2020,19,Sunday,May,True,False,True
20200511,2020-05-11,11,5,2,2020,20,Monday,May,False,False,True
20200512,2020-05-12,12,5,2,2020,20,Tuesday,May,False,False,True
20200513,2020-05-13,13,5,2,2020,20,Wednesday,May,False,False,True
20200514,2020-05-14,14,5,2,2020,20,Thursday,May,False,False,True
20200515,2020-05-15,15,5,2,2020,20,Friday,May,False,False,True
20200516,2020-05-16,16,5,2,2020,20,Saturday,May,True,False,True
20200517,2020-05-17,17,5,2,2020,20,Sunday,May,True,False,True
20200518,2020-05-18,18,5,2,2020,21,Monday,May,False,False,True
20200519,2020-05-19,19,5,2,2020,21,Tuesday,May,False,False,True
20200520,2020-05-20,20,5,2,2020,21,Wednesday,May,False,False,True
20200521,2020-05-21,21,5,2,2020,21,Thursday,May,False,False,True
20200522,2020-05-22,22,5,2,2020,21,Friday,May,False,False,True
20200523,2020-05-23,23,5,2,2020,21,Saturday,May,True,False,True
20200524,2020-05-24,24,5,2,2020,21,Sunday,May,True,False,False
20200525,2020-05-25,25,5,2,2020,22,Monday,May,False,False,False
20200526,2020-05-26,26,5,2,2020,22,Tuesday,May,False,False,False
20200527,2020-05-27,27,5,2,2020,22,Wednesday,May,False,False,False
20200528,2020-05-28,28,5,2,2020,22,Thursday,May,False,False,False
20200529,2020-05-29,29,5,2,2020,22,Friday,May,False,False,False
20200530,2020-05-30,30,5,2,2020,22,Saturday,May,True,False,False
20200531,2020-05-31,31,5,2,2020,22,Sunday,May,True,False,False
20200601,2020-06-01,1,6,2,2020,23,Monday,June,False,False,False
20200602,2020-06-02,2,6,2,2020,23,Tuesday,June,False,False,False
20200603,2020-06-03,3,6,2,2020,23,Wednesday,June,False,False,False
20200604,2020-06-04,4,6,2,2020,23,Thursday,June,False,False,False
20200605,2020-06-05,5,6,2,2020,23,Friday,June,False,False,False
20200606,2020-06-06,6,6,2,2020,23,Saturday,June,True,False,False
20200607,2020-06-07,7,6,2,2020,23,Sunday,June,True,False,False
20200608,2020-06-08,8,6,2,2020,24,Monday,June,False,False,False
20200609,2020-06-09,9,6,2,2020,24,Tuesday,June,False,False,False
20200610,2020-06-10,10,6,2,2020,24,Wednesday,June,False,False,False
