id_vente,id_date,id_produit,id_client,id_region,id_livreur,quantite_vendue,montant_ht,montant_ttc,delai_livraison_jours,prix_unitaire,statut_commande
1,20240112,96,232.0,10,8,10,82165.08,98598.1,1,9859.81,en_cours
2,20240218,84,316.0,1,38,19,171288.17,205545.8,9,10818.2,livré
3,20230204,87,53.0,1,49,3,34301.6,41161.92,181,13720.64,retourné
4,20241029,71,721.0,9,36,8,78982.47,94778.96,8,11847.37,annulé
5,20240823,81,385.0,9,48,19,197127.69,236553.23,6,12450.17,retourné
6,20230123,82,653.0,13,30,18,214773.0,257727.6,9,14318.2,livré
7,20241213,29,366.0,9,30,5,6981.96,8378.35,10,1675.67,annulé
8,20230623,119,813.0,10,3,14,106248.68,127498.42,4,9107.03,en_cours
9,20240407,9,284.0,11,1,20,229224.67,275069.6,2,13753.48,en_cours
10,20241025,2,687.0,11,42,15,144143.62,172972.35,9,11531.49,livré
11,20240523,75,750.0,11,21,20,106764.0,128116.8,4,6405.84,en_cours
12,20240605,72,774.0,1,40,14,28637.0,34364.4,9,2454.6,retourné
13,20230310,35,405.0,11,45,2,19263.55,23116.26,7,11558.13,annulé
14,20240626,110,424.0,11,44,16,95398.27,114477.92,2,7154.87,annulé
15,20240225,65,418.0,1,1,10,124973.25,149967.9,7,14996.79,livré
16,20241029,112,494.0,1,27,2,19761.22,23713.46,-292,11856.73,retourné
17,20240402,116,484.0,6,46,8,97659.6,117191.52,10,14648.94,livré
18,20231113,48,235.0,1,11,11,23441.37,28129.64,10,2557.24,livré
19,20230906,5,232.0,6,23,2,16192.38,19430.86,4,9715.43,annulé
20,20231227,110,171.0,15,38,4,24017.23,28820.68,157,7205.17,en_cours
21,20241024,109,626.0,9,27,16,175527.47,210632.96,9,13164.56,retourné
22,20240311,109,506.0,1,2,5,42692.42,51230.9,61,10246.18,annulé
23,20240513,94,312.0,11,30,9,80371.42,96445.71,8,10716.19,en_cours
24,20230715,98,989.0,1,28,16,194125.6,232950.72,6,14559.42,annulé
25,20241110,37,13.0,9,43,20,193840.0,232608.0,2,11630.4,retourné
26,20240223,117,885.0,1,40,1,5624.56,6749.47,-51,6749.47,retourné
27,20241117,7,819.0,15,44,1,6955.17,8346.2,8,8346.2,livré
28,20230208,7,4.0,13,17,15,171899.0,206278.8,4,13751.92,retourné
29,20230904,66,950.0,6,45,16,165047.87,198057.44,1,12378.59,en_cours
30,20231227,65,629.0,1,14,6,46121.5,55345.8,157,9224.3,retourné
31,20231014,103,385.0,1,1,9,10238.7,12286.44,2,1365.16,annulé
32,20230119,3,400.0,1,8,5,35941.04,43129.25,10,8625.85,livré
33,20240223,120,483.0,13,15,11,134561.26,161473.51,5,14679.41,en_cours
34,20230806,113,951.0,4,17,11,5451.51,6541.81,-54,594.71,annulé
35,20240412,42,427.0,13,31,17,76257.75,91509.3,9,5382.9,annulé
36,20230109,29,178.0,13,30,3,31164.88,37397.85,1,12465.95,en_cours
37,20240103,37,473.0,13,1,4,21263.43,25516.12,9,6379.03,en_cours
38,20230311,106,245.0,1,23,14,118077.63,141693.16,5,10120.94,en_cours
39,20230316,55,422.0,11,8,4,35162.2,42194.64,8,10548.66,retourné
40,20240622,81,955.0,1,27,14,168201.83,201842.2,6,14417.3,annulé
41,20230620,71,40.0,15,49,3,6660.33,7992.39,8,2664.13,livré
42,20230828,82,830.0,6,24,4,48739.33,58487.2,8,14621.8,en_cours
43,20240913,69,430.0,15,48,7,28509.42,34211.31,5,4887.33,en_cours
44,20240202,63,757.0,4,6,9,98666.7,118400.04,213,13155.56,en_cours
45,20240504,73,942.0,4,2,8,32050.2,38460.24,1,4807.53,en_cours
46,20231001,11,443.0,4,15,11,31257.78,37509.34,61,3409.94,retourné
47,20231209,15,253.0,6,39,7,60780.77,72936.92,-82,10419.56,en_cours
48,20240705,118,859.0,1,37,8,69988.47,83986.16,10,10498.27,en_cours
49,20230604,74,987.0,11,5,2,6223.42,7468.1,-49,3734.05,en_cours
50,20230313,75,460.0,1,30,2,5416.52,6499.82,10,3249.91,annulé
51,20230921,114,268.0,1,24,9,110541.83,132650.19,8,14738.91,retourné
52,20240117,40,336.0,9,49,1,6828.11,8193.73,10,8193.73,annulé
53,20240804,88,771.0,1,9,5,50572.75,60687.3,-110,12137.46,annulé
54,20230622,57,284.0,1,1,4,22880.3,27456.36,10,6864.09,en_cours
55,20230408,45,106.0,15,46,20,44026.17,52831.4,8,2641.57,en_cours
56,20230718,9,958.0,1,14,11,92899.12,111478.95,10,10134.45,livré
57,20230813,62,964.0,11,34,5,21759.04,26110.85,4,5222.17,retourné
